scope	mode	seq	dir	len	bip39_words	bip39_windows	bip39_valid	el_win12_13	el_valid12_13	el_win_all	el_valid_all	old_windows	wif_bip38_valid
all+p79json	w10	emph	fwd	454	100	2350	59	2633	11	16900	89	181	0
all+p79json	w10	emph	rev	454	100	2350	67	2633	18	16900	78	181	0
all+p79json	w10	bold_nobar	fwd	238	50	1010	26	1357	9	8606	38	41	0
all+p79json	w10	bold_nobar	rev	238	50	1010	32	1357	3	8606	34	41	0
all+p79json	w10	nonemph	fwd	807	169	4260	107	4739	14	30589	124	302	0
all+p79json	w10	nonemph	rev	807	169	4260	95	4739	20	30589	157	302	0
all+p79json	w10	runfirst	fwd	57	11	12	1	176	0	1001	3	0	0
all+p79json	w10	runfirst	rev	57	11	12	1	176	1	1001	8	0	0
all+p79json	w10	runlast	fwd	57	15	50	1	176	1	1001	6	2	0
all+p79json	w10	runlast	rev	57	15	50	1	176	0	1001	3	2	0
all+p79json	w10	before	fwd	57	12	19	2	275	8	1573	9	0	0
all+p79json	w10	before	rev	57	12	19	0	275	1	1573	5	0	0
all+p79json	w10	after	fwd	57	8	2	0	182	1	1040	6	0	0
all+p79json	w10	after	rev	57	8	2	0	182	0	1040	3	0	0
all+p79json	w10	runfirst_L	fwd	101	26	140	4	527	4	3211	12	10	0
all+p79json	w10	runfirst_L	rev	101	26	140	4	527	1	3211	14	10	0
all+p79json	w10	runlast_L	fwd	101	20	280	10	525	7	3198	19	13	0
all+p79json	w10	runlast_L	rev	101	20	280	11	525	2	3198	21	13	0
all+p79json	w10	boldrun_first	fwd	31	7	2	0	76	0	351	1	0	0
all+p79json	w10	boldrun_first	rev	31	7	2	0	76	0	351	0	0	0
all+p79json	w10	boldrun_last	fwd	31	11	5	0	76	0	351	2	0	0
all+p79json	w10	boldrun_last	rev	31	11	5	1	76	0	351	3	0	0
all+p79json	w10	sent_emph_first	fwd	59	14	25	2	188	2	1079	6	1	0
all+p79json	w10	sent_emph_first	rev	59	14	25	1	188	0	1079	4	1	0
all+p79json	w10	sent_emph_last	fwd	59	15	55	3	279	6	1599	23	4	0
all+p79json	w10	sent_emph_last	rev	59	15	55	1	279	2	1599	12	4	0
all+p79json	w10	esent_first	fwd	59	11	9	2	190	1	1092	5	1	0
all+p79json	w10	esent_first	rev	59	11	9	0	190	1	1092	7	1	0
all+p79json	w10	esent_last	fwd	59	16	62	1	289	0	1664	7	6	0
all+p79json	w10	esent_last	rev	59	16	62	2	289	2	1664	8	6	0
all+p79json	w10	bar_all	fwd	216	50	1000	24	1207	6	7631	64	77	0
all+p79json	w10	bar_all	rev	216	50	1000	33	1207	5	7631	30	77	0
all+p79json	w10	orange	fwd	128	28	430	13	683	2	4225	28	33	0
all+p79json	w10	orange	rev	128	28	430	10	683	2	4225	10	33	0
all+p79json	w10	black	fwd	61	13	32	0	196	2	1131	3	5	0
all+p79json	w10	black	rev	61	13	32	2	196	1	1131	10	5	0
all+p79json	w10	white	fwd	27	9	1	0	31	0	130	1	0	0
all+p79json	w10	white	rev	27	9	1	0	31	1	130	1	0	0
all+p79json	w10	under_strike	fwd	15	4	0	0	14	0	20	0	0	0
all+p79json	w10	under_strike	rev	15	4	0	0	14	0	20	0	0	0
all+p79json	w10	sent_first	fwd	88	13	32	0	306	0	1846	6	3	0
all+p79json	w10	sent_first	rev	88	13	32	2	306	1	1846	8	3	0
all+p79json	w10	sent_last	fwd	88	24	170	3	459	8	2769	20	15	0
all+p79json	w10	sent_last	rev	88	24	170	5	459	0	2769	5	15	0
all+p79json	w05	emph	fwd	497	113	2680	58	2887	14	18551	86	203	0
all+p79json	w05	emph	rev	497	113	2680	55	2887	22	18551	102	203	0
