address	funding_txid	block_height	block_time	value_sats	value_btc	script_type	priority_tier	tier_name	fr1_window	fr3_confirmed
38sP1kgUwkjWXtKq1HfGRk1wc4VAZZE9rb	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
39MXodMvmb8ineQdnW2XoJTBTCCMwM6ttV	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
39UCvsdgupA1gnXxm4goTBfBUftAYiQmUS	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
39Ub7xvDZgShNrpKbFampBGg7hQVcQMdw8	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
39WYRaKMoiNCAq6ojfVxKerQviHePHBto9	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
39pZbBomYpAPxQjP6ZoEPcsGzU5urt9rNF	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
39qKCV4J7z6f7zGNHVYh2dNZcVwf1D7Sta	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3A5foUhjoQMr4wpbVbkHsJjsPjpKkh6Wti	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3A7eEd9yEpygVjL4eWKNGTuge2CSq64rmE	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3AQWfuN26WScv5fYeAMsquFzdEPdb3oBdh	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3Ab9t9MR7oTRAGukY3CR723aPd6tRyojii	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3BETTGC26qVu91TFmqsZnCYSe8Zvvzk6BX	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3BTUzTZJTU1hU3MZjJXQPKBdy2Lov8uCwJ	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3Be4WZVrsWu7DsrFHoKEbJugHkF8xP9jdS	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3BfGoYxYCVtQNJscYr77pKnwMYBtGf7Gxw	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3BnMbx9vvyG1hVsXpGsCRjry224THCeNiB	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3CEkWZxcaPkJhkFAcLipdmbt7exoHyu3DH	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3CKTTnmuXRthy4PNJPU38QY7AGUsCgsipF	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3CT8J4EJRWdjc4ejjBTwgLqTd1gfpTT9tL	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3CffvDDriebZnXzZwtrHo9DrxSqJovqkB5	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3CrFWXDjgt3Qga8FxB4EYPrVLNQpjpNzMF	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3CweGMC5DJc3Q64oq6WBmX5FeAKTtbPBMc	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3D2JHufHcEfFAGKifdKzhGCn1b1teqLGUm	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
